Name,Author,Suggest for blog,Year,Month,Program,Theme,Created by,Last Updated,Original Document (Google Doc),Suggest for program mailing
“Daddy’s Little Girl” by Michael Morales,,No,2016,06 - June,Picture Essay,https://www.notion.so/Braided-picture-a91fc33e9a6e44c883ea42ab3f7f3f97,Kelly Yu,"February 21, 2021 4:48 AM",https://docs.google.com/document/d/1NqPKWmpQ4DEc29GwUFNap6Wvd--eyEBJ0RUPsqukZdk/edit,No
“Twin Shadows” by Daniel Matthews,,No,2016,06 - June,Picture Essay,https://www.notion.so/Braided-picture-a91fc33e9a6e44c883ea42ab3f7f3f97,Kelly Yu,"February 21, 2021 4:48 AM",https://docs.google.com/document/d/1p-7SzBzaCyhJAHsikfN1rQhoYJCBcVt-xWxzvHuqF7s/edit,No
“Inseparable” by Shannon Richardson,,No,2016,06 - June,Picture Essay,https://www.notion.so/Braided-picture-a91fc33e9a6e44c883ea42ab3f7f3f97,Kelly Yu,"February 21, 2021 4:48 AM",https://docs.google.com/document/d/1q5swTDoYozAvB9nOoiXqvCYGCRgkPqf7Zt_Q6KhwwQI/edit,No
“Molly” by Sean Dunne,,No,2016,06 - June,Picture Essay,https://www.notion.so/Braided-picture-a91fc33e9a6e44c883ea42ab3f7f3f97,Kelly Yu,"February 21, 2021 4:48 AM",https://docs.google.com/document/d/1veBc-lZ2ahsx8tY_UY9V9T9FDFkI0JpnJYsMaNv1djE/edit,No
“Sisters” by John Balistreri,,No,2016,06 - June,Picture Essay,https://www.notion.so/Braided-picture-a91fc33e9a6e44c883ea42ab3f7f3f97,Kelly Yu,"February 21, 2021 4:48 AM",https://docs.google.com/document/d/1W2CIe-twP0dADfQbXWULJTopbXLSdDNa4MCgkVnuHqI/edit,No
Untitled by Brad Perkins,,No,2016,06 - June,Picture Essay,https://www.notion.so/Braided-picture-a91fc33e9a6e44c883ea42ab3f7f3f97,Kelly Yu,"February 21, 2021 4:48 AM",https://docs.google.com/document/d/1y86gH2pKkSZcRQVsHgYiPEYsdD61liaR56qxtbHkC9c/edit,No
“‘Til Death Do Us Part” by Curtis Colvin,,No,2016,06 - June,Picture Essay,https://www.notion.so/Braided-picture-a91fc33e9a6e44c883ea42ab3f7f3f97,Kelly Yu,"February 21, 2021 4:48 AM",https://docs.google.com/document/d/1VxesXL1sdPthn1kno-JJFBjMzrZ0hWsg5imVKzqrdQk/edit,No
“Void Twins” by Delvin Diles,,No,2016,06 - June,Picture Essay,https://www.notion.so/Braided-picture-a91fc33e9a6e44c883ea42ab3f7f3f97,Kelly Yu,"February 21, 2021 4:48 AM",https://docs.google.com/document/d/1zK1mwi14xtxql1m_bM2tEkPNaVzXwDnw83bGW96Q2WA/edit,No
“Intertwined” by Steve MacDowell,,No,2016,06 - June,Picture Essay,https://www.notion.so/Braided-picture-a91fc33e9a6e44c883ea42ab3f7f3f97,Kelly Yu,"February 21, 2021 4:48 AM",https://docs.google.com/document/d/1NK8o0eWq_EHMY0xEz6OaHMT7blnRjtupVZm40N2cLro/edit,No
Untitled by Shaun Blake,,No,2016,07 - July,Picture Essay,https://www.notion.so/Hammock-picture-4f9525bc5dae490b9547c8b0604caa8a,Kelly Yu,"February 21, 2021 4:48 AM",https://docs.google.com/document/d/1PeOb88n7is7rOezOaOf4MGikKlGFSHOWOGxqnXoxnHc/edit,No
“A Godly Look!” by Abraham Divine,,No,2016,07 - July,Picture Essay,https://www.notion.so/Hammock-picture-4f9525bc5dae490b9547c8b0604caa8a,Kelly Yu,"February 21, 2021 4:48 AM",https://docs.google.com/document/d/1qi4-3-5XshYVg7fb_xYT5t5KeFdLh_RNE2tn_aOsDEA/edit,No
Untitled by Teddy Bartling,,No,2016,07 - July,Picture Essay,https://www.notion.so/Hammock-picture-4f9525bc5dae490b9547c8b0604caa8a,Kelly Yu,"February 21, 2021 4:48 AM",https://docs.google.com/document/d/1cYb1LajY82xUskFZEdGUMMLeWQhxSkp7YfgSea_aFRw/edit,No
“Our Ancestors Still Watch Over Us” by Robert Clayton,,No,2016,07 - July,Picture Essay,https://www.notion.so/Hammock-picture-4f9525bc5dae490b9547c8b0604caa8a,Kelly Yu,"February 21, 2021 4:48 AM",https://docs.google.com/document/d/1ya5f402fhrzCMQKGlTG97k9qKR8fjsHyDxnt3JPi6Lc/edit,No
“My First and Only Love” by Michael Morales,,No,2016,07 - July,Picture Essay,https://www.notion.so/Hammock-picture-4f9525bc5dae490b9547c8b0604caa8a,Kelly Yu,"February 21, 2021 4:48 AM",https://docs.google.com/document/d/1gGuTz0j2PrcLjLDefVLJzuvgAI-0ORGoQGyGv8UAIpI/edit,No
“Wishes” by Shannon Richardson,,No,2016,07 - July,Picture Essay,https://www.notion.so/Hammock-picture-4f9525bc5dae490b9547c8b0604caa8a,Kelly Yu,"February 21, 2021 4:48 AM",https://docs.google.com/document/d/1i-6kdSgwXdjKqJ7pcYkyTIYsYT7QeesVFUhgXWyFkmQ/edit,No
"“Lazy Days"" by Joshua Balistreri",,No,2016,07 - July,Picture Essay,https://www.notion.so/Hammock-picture-4f9525bc5dae490b9547c8b0604caa8a,Kelly Yu,"February 21, 2021 4:48 AM",https://docs.google.com/document/d/1x-9cRTaCR4OVYkH-rMgIzTBd5R1bxQZXM74ujycbdQU/edit,No
“The Patio” by Robert Bartlett,,No,2016,07 - July,Picture Essay,https://www.notion.so/Hammock-picture-4f9525bc5dae490b9547c8b0604caa8a,Kelly Yu,"February 21, 2021 4:48 AM",https://docs.google.com/document/d/1lbyFPsxjjfeFFZ6zu-cLe1epqcvA4swc6JxZrnHnBRU/edit,No
"""The Hammock"" by Robert Bartlett",,No,2016,07 - July,Picture Essay,https://www.notion.so/Hammock-picture-4f9525bc5dae490b9547c8b0604caa8a,Kelly Yu,"February 21, 2021 4:48 AM",https://docs.google.com/document/d/1rl6NfXsUh6vZOocq2_7razgjb3FFnapbIk1y5EqB42U/edit,No
“Life is a Hammock” by Jeremy Brown,,No,2016,07 - July,Picture Essay,https://www.notion.so/Hammock-picture-4f9525bc5dae490b9547c8b0604caa8a,Kelly Yu,"February 21, 2021 4:48 AM",https://docs.google.com/document/d/1n79hBj5Kk0aLWI0RRLS-NFItXfbsQSdyPRzraRU7osI/edit,No
“Sleeping Life Away” by Michael Lanning,,No,2016,07 - July,Picture Essay,https://www.notion.so/Hammock-picture-4f9525bc5dae490b9547c8b0604caa8a,Kelly Yu,"February 21, 2021 4:48 AM",https://docs.google.com/document/d/1-oNWtE9FPRG1Mj1j8_Cs643wxmrUgosHpXKUsRQg_MM/edit,No
Untitled by Akai McRee-Tram,,No,2016,07 - July,Picture Essay,https://www.notion.so/Hammock-picture-4f9525bc5dae490b9547c8b0604caa8a,Kelly Yu,"February 21, 2021 4:48 AM",https://docs.google.com/document/d/1JDDtER9OFTICu8qbVIiO5ib7tqWL7CYfmo2WQ4pPmeU/edit,No
“Resting in Thought” by Alfred McGlory,,No,2016,07 - July,Picture Essay,https://www.notion.so/Hammock-picture-4f9525bc5dae490b9547c8b0604caa8a,Kelly Yu,"February 21, 2021 4:48 AM",https://docs.google.com/document/d/1CjcUhJ_eQGcL0b3oOjnqMtRIkbGmfZDCWbwxT_RXDDc/edit,No
“Holding It In” by Maximillian Michaels,,No,2016,07 - July,Picture Essay,https://www.notion.so/Hammock-picture-4f9525bc5dae490b9547c8b0604caa8a,Kelly Yu,"February 21, 2021 4:48 AM",https://docs.google.com/document/d/1Yqc2GD9JPXbPDRQVyyeaWC8RWeM1Tq1Y9eJPypRupRE/edit,No
“Family” by Rashan Sah,,No,2016,07 - July,Picture Essay,https://www.notion.so/Hammock-picture-4f9525bc5dae490b9547c8b0604caa8a,Kelly Yu,"February 21, 2021 4:48 AM",https://docs.google.com/document/d/1YHi7ukIGeh1bDd3osF9c9KaJ8qv9bfM6qYu8S8jy13w/edit,No
Untitled by Craig Shipley,,No,2016,07 - July,Picture Essay,https://www.notion.so/Hammock-picture-4f9525bc5dae490b9547c8b0604caa8a,Kelly Yu,"February 21, 2021 4:48 AM",https://docs.google.com/document/d/1ieXaPSLln9SkWFJoMyQyWGUBJlb2Ql58cCFmV4kQr_Y/edit,No
“A Spooky Day?” by Abraham Divine,,No,2016,08 - August,Picture Essay,https://www.notion.so/Soldiers-picture-b111246d90bc442e98baf97f26d69178,Kelly Yu,"February 21, 2021 4:48 AM",https://docs.google.com/document/d/1eSTMv6v-v5Zdio477o9C4eigrQbbBy0juy5Nplmgroo/edit,No
"""A Warrior’s Thought"" by DeQuion Barker",,No,2016,08 - August,Picture Essay,https://www.notion.so/Soldiers-picture-b111246d90bc442e98baf97f26d69178,Kelly Yu,"February 21, 2021 4:48 AM",https://docs.google.com/document/d/1XBfEWMk883v5mZUX2cuXtsBCHQdzuB72mIZHqSqU5fI/edit,No
“Level 4 Prison” by Chad Dias,,No,2016,08 - August,Picture Essay,https://www.notion.so/Soldiers-picture-b111246d90bc442e98baf97f26d69178,Kelly Yu,"February 21, 2021 4:48 AM",https://docs.google.com/document/d/1QPstKk4W3fMBHekXW_JnpSQl2lzXmTcmIH86F_8R_Zc/edit,No
“Time Proves All Things” by Robert Clayton,,No,2016,08 - August,Picture Essay,https://www.notion.so/Soldiers-picture-b111246d90bc442e98baf97f26d69178,Kelly Yu,"February 21, 2021 4:48 AM",https://docs.google.com/document/d/1di_Kfpqk9fHkg37wvKWOJYZaJoE613M7uyCpqIqM2ug/edit,No
“Do Black Lives Matter? How Much?” by Matthew Tomlinson,,No,2016,08 - August,Picture Essay,https://www.notion.so/Soldiers-picture-b111246d90bc442e98baf97f26d69178,Kelly Yu,"February 21, 2021 4:48 AM",https://docs.google.com/document/d/1UY55yWN4QGj9cA2csdZli8xuQxThyI37ZbTIdhtaVVI/edit,No
“Night of Fun” by Shannon Richardson,,No,2016,08 - August,Picture Essay,https://www.notion.so/Soldiers-picture-b111246d90bc442e98baf97f26d69178,Kelly Yu,"February 21, 2021 4:48 AM",https://docs.google.com/document/d/1ezq_5BGxSm9dzhVJQsJQos8ylEpCUqmqBSFiQyaaHFI/edit,No
“Never Accepted” by Marvin Jones,,No,2016,08 - August,Picture Essay,https://www.notion.so/Soldiers-picture-b111246d90bc442e98baf97f26d69178,Kelly Yu,"February 21, 2021 4:48 AM",https://docs.google.com/document/d/1w68_q5bBNRqe4JGiF0x2kdlreYSPBCioIcGq-F_faoo/edit,No
“Heroes Vs. Hypocrites” by J.C. Young,,No,2016,08 - August,Picture Essay,https://www.notion.so/Soldiers-picture-b111246d90bc442e98baf97f26d69178,Kelly Yu,"February 21, 2021 4:48 AM",https://docs.google.com/document/d/1PSkov1kheuZzJ2SmtDPLaHwHXMHbi98YmYNc-2ZIo_Y/edit,No
Untitled by Joshua Balistreri,,No,2016,08 - August,Picture Essay,https://www.notion.so/Soldiers-picture-b111246d90bc442e98baf97f26d69178,Kelly Yu,"February 21, 2021 4:48 AM",https://docs.google.com/document/d/1RzSbC8kF5TmqtngY4Fg0cHP0SpeuzSpfBnCTCawJz70/edit,No
“Just War” by Robert Andrew Bartlett Sr.,,No,2016,08 - August,Picture Essay,https://www.notion.so/Soldiers-picture-b111246d90bc442e98baf97f26d69178,Kelly Yu,"February 21, 2021 4:48 AM",https://docs.google.com/document/d/1W5rHlNzV5WcbcnoiVYfnXs4WGq6XbmeD5q2c-WU4_do/edit,No
“Unpaid” by Jeremy Brown,,No,2016,08 - August,Picture Essay,https://www.notion.so/Soldiers-picture-b111246d90bc442e98baf97f26d69178,Kelly Yu,"February 21, 2021 4:48 AM",https://docs.google.com/document/d/1T1KZFivV9cegGVA_aBaPI-FmZRsOKBAYOYypEhlZDHs/edit,No
"""In This New World"" by Michael Kurt",,No,2016,08 - August,Picture Essay,https://www.notion.so/Soldiers-picture-b111246d90bc442e98baf97f26d69178,Kelly Yu,"February 21, 2021 4:48 AM",https://docs.google.com/document/d/1m1le3ABhrjRymUwV7_9s3AR4td9IRTzyb1_ZSfaZCLg/edit,No
“Prison Fly-Boys” by Michael Lanning,,No,2016,08 - August,Picture Essay,https://www.notion.so/Soldiers-picture-b111246d90bc442e98baf97f26d69178,Kelly Yu,"February 21, 2021 4:48 AM",https://docs.google.com/document/d/1MqrT8y3_7K7RU6LJXz8DvwKbyh2sipnUWOhRJOE6r0Q/edit,No
"“Zion Tact Team” by Alfred McGlory, Jr.",,No,2016,08 - August,Picture Essay,https://www.notion.so/Soldiers-picture-b111246d90bc442e98baf97f26d69178,Kelly Yu,"February 21, 2021 4:48 AM",https://docs.google.com/document/d/1Pd0uPScbZ-lZEYrIPjeBdH9GLqepMobnDpsz3LYqjMU/edit,No
Untitled by Craig Shipley,,No,2016,08 - August,Picture Essay,https://www.notion.so/Soldiers-picture-b111246d90bc442e98baf97f26d69178,Kelly Yu,"February 21, 2021 4:48 AM",https://docs.google.com/document/d/1aUm23v0EcB8iIHOyEQB5y4DFN-IAijKt7bFb4sN1B-I/edit,No
“Masks” by Charles M. Yonkings,,No,2016,09 - September,Picture Essay,https://www.notion.so/Hands-picture-cc2c883ab4c04780a70bf8d8aa0ac19d,Kelly Yu,"February 21, 2021 4:48 AM",https://docs.google.com/document/d/1KJBPty0lD-Z0QApMMBLXwysXJtK0BxRmABnVWLZ__cE/edit,No
“True Intentions” by Chad Frank,,No,2016,09 - September,Picture Essay,https://www.notion.so/Hands-picture-cc2c883ab4c04780a70bf8d8aa0ac19d,Kelly Yu,"February 21, 2021 4:48 AM",https://docs.google.com/document/d/1uesSKCMt77PrtN4rBC3bGwDTacZaCXsFlMHhkp5uG2I/edit,No
“A Good Man?” by Abraham Divine,,No,2016,09 - September,Picture Essay,https://www.notion.so/Hands-picture-cc2c883ab4c04780a70bf8d8aa0ac19d,Kelly Yu,"February 21, 2021 4:48 AM",https://docs.google.com/document/d/1VlcBhISEoSUcrU-vPpL9LBPgUI1JR8iHYd0_qUXUA9o/edit,No
"""Eyes Like Daggers"" by Edward Homer",,No,2016,09 - September,Picture Essay,https://www.notion.so/Hands-picture-cc2c883ab4c04780a70bf8d8aa0ac19d,Kelly Yu,"February 21, 2021 4:48 AM",https://docs.google.com/document/d/13t4t5Ma9J9pS-PRlZa0Z3kLEEC1Zxkz52q0YQKMDoCI/edit,No
Untitled by Diane Spencer,,No,2016,09 - September,Picture Essay,https://www.notion.so/Hands-picture-cc2c883ab4c04780a70bf8d8aa0ac19d,Kelly Yu,"February 21, 2021 4:48 AM",https://docs.google.com/document/d/1TZYVhR3GaYB4biOBdPLaQg4U7HZBLZfpW80J5xUOdD0/edit,No
“All Hail the… Chief?” by Nate A. Lindell,,No,2016,09 - September,Picture Essay,https://www.notion.so/Hands-picture-cc2c883ab4c04780a70bf8d8aa0ac19d,Kelly Yu,"February 21, 2021 4:48 AM",https://docs.google.com/document/d/1FoXQnaavLB88BRAdIKg1oBlaxjfTXHDTsHSi28FSndo/edit,No
Untitled by Robert Clayton,,No,2016,09 - September,Picture Essay,https://www.notion.so/Hands-picture-cc2c883ab4c04780a70bf8d8aa0ac19d,Kelly Yu,"February 21, 2021 4:48 AM",https://docs.google.com/document/d/1T38MhqRmVPELnA1YY2vPJrpA6mG0FVnzD6BH6KiGp6M/edit,No
“Gold in the Bank” by Matthew Tomlinson,,No,2016,09 - September,Picture Essay,https://www.notion.so/Hands-picture-cc2c883ab4c04780a70bf8d8aa0ac19d,Kelly Yu,"February 21, 2021 4:48 AM",https://docs.google.com/document/d/1HkOtryn1vaEgAp-4tjRPMLja2ZfaAUJ_w5pXAmqo8cQ/edit,No
“I Can’t Hide” by Brother Boston,,No,2016,09 - September,Picture Essay,https://www.notion.so/Hands-picture-cc2c883ab4c04780a70bf8d8aa0ac19d,Kelly Yu,"February 21, 2021 4:48 AM",https://docs.google.com/document/d/1JfLPKuLTGqZa2iTcrj8DpXm0Db7GBMSUAHl-daJhSKo/edit,No
“Peek-A-Boo” by Kathryn Clement,,No,2016,09 - September,Picture Essay,https://www.notion.so/Hands-picture-cc2c883ab4c04780a70bf8d8aa0ac19d,Kelly Yu,"February 21, 2021 4:48 AM",https://docs.google.com/document/d/1ZGT58E4P30Kp8dOefwkX9BZaKq2_rSibh1z4DGNC9a8/edit,No
"""Heavenly Redemption"" by Chad Dias",,No,2016,09 - September,Picture Essay,https://www.notion.so/Hands-picture-cc2c883ab4c04780a70bf8d8aa0ac19d,Kelly Yu,"February 21, 2021 4:48 AM",https://docs.google.com/document/d/1FMGyO1g5oYJPcgiLft9n_m0xMKoiI6PEtUiofFKYG6k/edit,No
“Implicit Bias Epiphany” by Raymond Springs II,,No,2016,09 - September,Picture Essay,https://www.notion.so/Hands-picture-cc2c883ab4c04780a70bf8d8aa0ac19d,Kelly Yu,"February 21, 2021 4:48 AM",https://docs.google.com/document/d/1b4Qq0K3FqDNPbdreLdi5zsuvny8bNK6CsdjfCJsuHm8/edit,No
“Double Exposure” by Steven P. Arthur,,No,2016,09 - September,Picture Essay,https://www.notion.so/Hands-picture-cc2c883ab4c04780a70bf8d8aa0ac19d,Kelly Yu,"February 21, 2021 4:48 AM",https://docs.google.com/document/d/1cYu6FrB59RTZAS4EyKn0LSZz4LRtS81Udd4hkS0Scck/edit,No
"“CI” by Robert Andrew Bartlett, Sr.",,No,2016,09 - September,Picture Essay,https://www.notion.so/Hands-picture-cc2c883ab4c04780a70bf8d8aa0ac19d,Kelly Yu,"February 21, 2021 4:48 AM",https://docs.google.com/document/d/1mW6TbWsdBjRjCAl4YTwiO4LT_CH9TnieNHZNC3FhgXo/edit,No
“Hide and Seek King” by Curtis Colvin,,No,2016,09 - September,Picture Essay,https://www.notion.so/Hands-picture-cc2c883ab4c04780a70bf8d8aa0ac19d,Kelly Yu,"February 21, 2021 4:48 AM",https://docs.google.com/document/d/1nXA_Sb2Cyzr-fpvGU1T5XRlhy6eSV2fPBVwSjYEM2Qk/edit,No
"“See No Evil, Speak No Evil” by David Cooper",,No,2016,09 - September,Picture Essay,https://www.notion.so/Hands-picture-cc2c883ab4c04780a70bf8d8aa0ac19d,Kelly Yu,"February 21, 2021 4:48 AM",https://docs.google.com/document/d/1_0CdFnkg9Xo4YN3STREQ6kyzCyYJuz16oGLGoaQYxxI/edit,No
